"Re","Im","Norm","Order"
-7.9066,0,7.9066,14
-9.2238,0,9.2238,15
8.8431,0,8.8431,1
7.4556,0,7.4556,2
5.7296,0,5.7296,3
4.6776,0,4.6776,4
3.6825,0,3.6825,5
2.4038,0,2.4038,6
1.3953,0,1.3953,7
0.3645,0,0.3645,8
-0.5087,0,0.5087,9
-2.6222,0,2.6222,10
-3.4282,0,3.4282,11
-4.7657,0,4.7657,12
-5.7318,0,5.7318,13
-7.2967,0,7.2967,14
-9.3231,0,9.3231,15
9.0602,0,9.0602,1
6.8964,0,6.8964,2
5.7867,0,5.7867,3
5.4555,0,5.4555,4
3.5472,0,3.5472,5
2.8613,0,2.8613,6
1.7278,0,1.7278,7
0.6032,0,0.6032,8
-0.9418,0,0.9418,9
-2.5105,0,2.5105,10
-3.3496,0,3.3496,11
-5.5077,0,5.5077,12
-6.9309,0,6.9309,13
-7.7574,0,7.7574,14
-10.5073,0,10.5073,15
9.1279,0,9.1279,1
6.7403,0,6.7403,2
6.1556,0,6.1556,3
4.1787,0,4.1787,4
3.4052,0,3.4052,5
2.337,0,2.337,6
0.9058,0,0.9058,7
-0.4718,0,0.4718,8
-1.8381,0,1.8381,9
-2.3272,0,2.3272,10
-3.4469,0,3.4469,11
-4.4053,0,4.4053,12
-5.9943,0,5.9943,13
-7.4891,0,7.4891,14
-9.4915,0,9.4915,15
8.5051,0,8.5051,1
7.5407,0,7.5407,2
6.2534,0,6.2534,3
4.9865,0,4.9865,4
4.2569,0,4.2569,5
3.1188,0,3.1188,6
2.0378,0,2.0378,7
0.6896,0,0.6896,8
-0.4388,0,0.4388,9
-1.7363,0,1.7363,10
-2.4645,0,2.4645,11
-4.1219,0,4.1219,12
-6.0884,0,6.0884,13
-6.959,0,6.959,14
-9.0027,0,9.0027,15
9.2456,0,9.2456,1
7.7536,0,7.7536,2
6.8444,0,6.8444,3
5.8368,0,5.8368,4
4.1082,0,4.1082,5
2.332,0,2.332,6
1.6115,0,1.6115,7
0.6859,0,0.6859,8
-0.2181,0,0.2181,9
-2.4339,0,2.4339,10
-3.1221,0,3.1221,11
-4.4112,0,4.4112,12
-5.7632,0,5.7632,13
-7.5046,0,7.5046,14
-9.3332,0,9.3332,15
8.8248,0,8.8248,1
6.8288,0,6.8288,2
6.0045,0,6.0045,3
3.9986,0,3.9986,4
3.0887,0,3.0887,5
2.4476,0,2.4476,6
0.8618,0,0.8618,7
-0.0659,0,0.0659,8
-1.2863,0,1.2863,9
-2.7339,0,2.7339,10
-3.6271,0,3.6271,11
-4.201,0,4.201,12
-5.9265,0,5.9265,13
-7.2024,0,7.2024,14
-9.8982,0,9.8982,15
10.2555,0,10.2555,1
7.8944,0,7.8944,2
6.5633,0,6.5633,3
5.4247,0,5.4247,4
4.4117,0,4.4117,5
2.8092,0,2.8092,6
1.6414,0,1.6414,7
0.8569,0,0.8569,8
-0.3345,0,0.3345,9
-1.4668,0,1.4668,10
-2.2526,0,2.2526,11
-4.2455,0,4.2455,12
-5.0281,0,5.0281,13
-7.4803,0,7.4803,14
-9.1359,0,9.1359,15
8.6557,0,8.6557,1
7.0034,0,7.0034,2
4.5484,0,4.5484,3
3.6815,0,3.6815,4
2.947,0,2.947,5
1.3934,0,1.3934,6
0.7436,0,0.7436,7
-1.0135,0,1.0135,8
-1.6891,0,1.6891,9
-2.0712,0,2.0712,10
-3.438,0,3.438,11
-4.5879,0,4.5879,12
-5.9565,0,5.9565,13
-8.2019,0,8.2019,14
-9.9225,0,9.9225,15
8.8724,0,8.8724,1
6.437,0,6.437,2
5.2189,0,5.2189,3
4.0468,0,4.0468,4
3.3,0,3.3,5
2.1978,0,2.1978,6
1.1287,0,1.1287,7
-0.139,0,0.139,8
-1.4118,0,1.4118,9
-2.2631,0,2.2631,10
-4.2892,0,4.2892,11
-5.4306,0,5.4306,12
-6.1504,0,6.1504,13
-6.9079,0,6.9079,14
-8.4408,0,8.4408,15
8.612,0,8.612,1
7.1298,0,7.1298,2
5.3105,0,5.3105,3
4.2081,0,4.2081,4
3.265,0,3.265,5
2.0993,0,2.0993,6
0.9909,0,0.9909,7
-0.2368,0,0.2368,8
-1.4993,0,1.4993,9
-3.0366,0,3.0366,10
-4.0696,0,4.0696,11
-4.878,0,4.878,12
-6.1428,0,6.1428,13
-7.9419,0,7.9419,14
-9.305,0,9.305,15
8.9317,0,8.9317,1
