"Re","Im","Norm","Order"
-4.6523,0,4.6523,13
-5.7865,0,5.7865,14
-6.996,0,6.996,15
6.0387,0,6.0387,1
5.3095,0,5.3095,2
4.8885,0,4.8885,3
4.0449,0,4.0449,4
3.0452,0,3.0452,5
1.9055,0,1.9055,6
0.8434,0,0.8434,7
0.2803,0,0.2803,8
-0.8946,0,0.8946,9
-1.3983,0,1.3983,10
-2.5705,0,2.5705,11
-3.5239,0,3.5239,12
-3.996,0,3.996,13
-5.4445,0,5.4445,14
-6.5777,0,6.5777,15
7.8156,0,7.8156,1
5.6649,0,5.6649,2
4.2331,0,4.2331,3
3.975,0,3.975,4
1.9919,0,1.9919,5
1.6486,0,1.6486,6
0.2294,0,0.2294,7
0.0032,0,0.0032,8
-0.7586,0,0.7586,9
-1.0933,0,1.0933,10
-1.5294,0,1.5294,11
-3.5198,0,3.5198,12
-3.7033,0,3.7033,13
-5.6255,0,5.6255,14
-6.3545,0,6.3545,15
8.0941,0,8.0941,1
4.5943,0,4.5943,2
3.5073,0,3.5073,3
2.4354,0,2.4354,4
2.2275,0,2.2275,5
1.6143,0,1.6143,6
0.3137,0,0.3137,7
-0.2471,0,0.2471,8
-0.5689,0,0.5689,9
-1.6327,0,1.6327,10
-2.7744,0,2.7744,11
-3.2451,0,3.2451,12
-4.1796,0,4.1796,13
-5.8282,0,5.8282,14
-5.9309,0,5.9309,15
5.8867,0,5.8867,1
5.7108,0,5.7108,2
4.0684,0,4.0684,3
3.3315,0,3.3315,4
2.5456,0,2.5456,5
1.2519,0,1.2519,6
0.4247,0,0.4247,7
-0.2638,0,0.2638,8
-0.941,0,0.941,9
-1.4827,0,1.4827,10
-2.3704,0,2.3704,11
-3.739,0,3.739,12
-4.2255,0,4.2255,13
-6.2825,0,6.2825,14
-7.5815,0,7.5815,15
6.8486,0,6.8486,1
4.1734,0,4.1734,2
3.2197,0,3.2197,3
2.5272,0,2.5272,4
2.1976,0,2.1976,5
1.4453,0,1.4453,6
1.236,0,1.236,7
0.4006,0,0.4006,8
-0.429,0,0.429,9
-1.9832,0,1.9832,10
-3.1498,0,3.1498,11
-3.341,0,3.341,12
-4.7426,0,4.7426,13
-5.0235,0,5.0235,14
-7.1711,0,7.1711,15
5.5871,0,5.5871,1
4.0397,0,4.0397,2
3.2427,0,3.2427,3
2.9052,0,2.9052,4
1.9656,0,1.9656,5
1.7832,0,1.7832,6
1.0659,0,1.0659,7
0.3562,0,0.3562,8
-0.8539,0,0.8539,9
-1.685,0,1.685,10
-1.9857,0,1.9857,11
-2.5784,0,2.5784,12
-3.8476,0,3.8476,13
-4.8665,0,4.8665,14
-5.4433,0,5.4433,15
6.3263,0,6.3263,1
5.2388,0,5.2388,2
4.0638,0,4.0638,3
3.3478,0,3.3478,4
2.3981,0,2.3981,5
0.9725,0,0.9725,6
0.0663,0,0.0663,7
-0.5712,0,0.5712,8
-1.5199,0,1.5199,9
-1.6561,0,1.6561,10
-2.5457,0,2.5457,11
-2.6753,0,2.6753,12
-2.9524,0,2.9524,13
-3.8138,0,3.8138,14
-7.0456,0,7.0456,15
6.081,0,6.081,1
4.9792,0,4.9792,2
4.6258,0,4.6258,3
3.1563,0,3.1563,4
2.7124,0,2.7124,5
1.3953,0,1.3953,6
0.4783,0,0.4783,7
-0.3466,0,0.3466,8
-0.7105,0,0.7105,9
-1.5671,0,1.5671,10
-2.2558,0,2.2558,11
-3.0908,0,3.0908,12
-4.2008,0,4.2008,13
-5.1022,0,5.1022,14
-6.6484,0,6.6484,15
7.1616,0,7.1616,1
4.2629,0,4.2629,2
3.9869,0,3.9869,3
3.2594,0,3.2594,4
3.1861,0,3.1861,5
2.3634,0,2.3634,6
0.9889,0,0.9889,7
-0.3387,0,0.3387,8
-1.0359,0,1.0359,9
-1.299,0,1.299,10
-1.745,0,1.745,11
-3.6437,0,3.6437,12
-5.1308,0,5.1308,13
-5.5007,0,5.5007,14
