"Re","Im","Norm","Order"
-0.8661,0,0.8661,14
0.3263,0,0.3263,15
-9.3231,0,9.3231,1
8.8431,0,8.8431,2
7.4556,0,7.4556,3
-7.2967,0,7.2967,4
-5.7318,0,5.7318,5
5.7296,0,5.7296,6
-4.7657,0,4.7657,7
4.6776,0,4.6776,8
3.6825,0,3.6825,9
-3.4282,0,3.4282,10
-2.6222,0,2.6222,11
2.4038,0,2.4038,12
1.3953,0,1.3953,13
-0.5087,0,0.5087,14
0.3645,0,0.3645,15
-10.5073,0,10.5073,1
9.0602,0,9.0602,2
-7.7574,0,7.7574,3
-6.9309,0,6.9309,4
6.8964,0,6.8964,5
5.7867,0,5.7867,6
-5.5077,0,5.5077,7
5.4555,0,5.4555,8
3.5472,0,3.5472,9
-3.3496,0,3.3496,10
2.8613,0,2.8613,11
-2.5105,0,2.5105,12
1.7278,0,1.7278,13
-0.9418,0,0.9418,14
0.6032,0,0.6032,15
-9.4915,0,9.4915,1
9.1279,0,9.1279,2
-7.4891,0,7.4891,3
6.7403,0,6.7403,4
6.1556,0,6.1556,5
-5.9943,0,5.9943,6
-4.4053,0,4.4053,7
4.1787,0,4.1787,8
-3.4469,0,3.4469,9
3.4052,0,3.4052,10
2.337,0,2.337,11
-2.3272,0,2.3272,12
-1.8381,0,1.8381,13
0.9058,0,0.9058,14
-0.4718,0,0.4718,15
-9.0027,0,9.0027,1
8.5051,0,8.5051,2
7.5407,0,7.5407,3
-6.959,0,6.959,4
6.2534,0,6.2534,5
-6.0884,0,6.0884,6
4.9865,0,4.9865,7
4.2569,0,4.2569,8
-4.1219,0,4.1219,9
3.1188,0,3.1188,10
-2.4645,0,2.4645,11
2.0378,0,2.0378,12
-1.7363,0,1.7363,13
0.6896,0,0.6896,14
-0.4388,0,0.4388,15
-9.3332,0,9.3332,1
9.2456,0,9.2456,2
7.7536,0,7.7536,3
-7.5046,0,7.5046,4
6.8444,0,6.8444,5
5.8368,0,5.8368,6
-5.7632,0,5.7632,7
-4.4112,0,4.4112,8
4.1082,0,4.1082,9
-3.1221,0,3.1221,10
-2.4339,0,2.4339,11
2.332,0,2.332,12
1.6115,0,1.6115,13
0.6859,0,0.6859,14
-0.2181,0,0.2181,15
-9.8982,0,9.8982,1
8.8248,0,8.8248,2
-7.2024,0,7.2024,3
6.8288,0,6.8288,4
6.0045,0,6.0045,5
-5.9265,0,5.9265,6
-4.201,0,4.201,7
3.9986,0,3.9986,8
-3.6271,0,3.6271,9
3.0887,0,3.0887,10
-2.7339,0,2.7339,11
2.4476,0,2.4476,12
-1.2863,0,1.2863,13
0.8618,0,0.8618,14
-0.0659,0,0.0659,15
10.2555,0,10.2555,1
-9.1359,0,9.1359,2
7.8944,0,7.8944,3
-7.4803,0,7.4803,4
6.5633,0,6.5633,5
5.4247,0,5.4247,6
-5.0281,0,5.0281,7
4.4117,0,4.4117,8
-4.2455,0,4.2455,9
2.8092,0,2.8092,10
-2.2526,0,2.2526,11
1.6414,0,1.6414,12
-1.4668,0,1.4668,13
0.8569,0,0.8569,14
-0.3345,0,0.3345,15
-9.9225,0,9.9225,1
8.6557,0,8.6557,2
-8.2019,0,8.2019,3
7.0034,0,7.0034,4
-5.9565,0,5.9565,5
-4.5879,0,4.5879,6
4.5484,0,4.5484,7
3.6815,0,3.6815,8
-3.438,0,3.438,9
2.947,0,2.947,10
-2.0712,0,2.0712,11
-1.6891,0,1.6891,12
1.3934,0,1.3934,13
-1.0135,0,1.0135,14
0.7436,0,0.7436,15
8.8724,0,8.8724,1
-8.4408,0,8.4408,2
-6.9079,0,6.9079,3
6.437,0,6.437,4
-6.1504,0,6.1504,5
-5.4306,0,5.4306,6
5.2189,0,5.2189,7
-4.2892,0,4.2892,8
4.0468,0,4.0468,9
3.3,0,3.3,10
-2.2631,0,2.2631,11
2.1978,0,2.1978,12
-1.4118,0,1.4118,13
1.1287,0,1.1287,14
-0.139,0,0.139,15
-9.305,0,9.305,1
8.612,0,8.612,2
-7.9419,0,7.9419,3
7.1298,0,7.1298,4
-6.1428,0,6.1428,5
5.3105,0,5.3105,6
-4.878,0,4.878,7
4.2081,0,4.2081,8
-4.0696,0,4.0696,9
3.265,0,3.265,10
-3.0366,0,3.0366,11
2.0993,0,2.0993,12
-1.4993,0,1.4993,13
0.9909,0,0.9909,14
-0.2368,0,0.2368,15
-9.3807,0,9.3807,1
8.9317,0,8.9317,2
-7.8245,0,7.8245,3
6.8448,0,6.8448,4
-6.2577,0,6.2577,5
5.3209,0,5.3209,6
-4.9972,0,4.9972,7
4.5413,0,4.5413,8
-3.9945,0,3.9945,9
3.1747,0,3.1747,10
-2.5929,0,2.5929,11
2.0291,0,2.0291,12
-1.1507,0,1.1507,13
0.6107,0,0.6107,14
-0.2479,0,0.2479,15
-9.6338,0,9.6338,1
9.5828,0,9.5828,2
8.1741,0,8.1741,3
7.0958,0,7.0958,4
-6.8404,0,6.8404,5
-5.6419,0,5.6419,6
5.1341,0,5.1341,7
-4.6578,0,4.6578,8
4.1433,0,4.1433,9
-3.4023,0,3.4023,10
3.1841,0,3.1841,11
-1.6184,0,1.6184,12
1.3038,0,1.3038,13
-0.9606,0,0.9606,14
0.695,0,0.695,15
-8.9626,0,8.9626,1
8.2828,0,8.2828,2
-7.2617,0,7.2617,3
-6.4906,0,6.4906,4
6.323,0,6.323,5
5.017,0,5.017,6
-4.8222,0,4.8222,7
3.9346,0,3.9346,8
-3.0908,0,3.0908,9
2.586,0,2.586,10
-2.2641,0,2.2641,11
