"Re","Im","Norm","Order"
7.6798,0,7.6798,1
5.4603,0,5.4603,2
4.7054,0,4.7054,3
3.8984,0,3.8984,4
2.2986,0,2.2986,5
1.631,0,1.631,6
0.4738,0,0.4738,7
0.1256,0,0.1256,8
-0.7507,0,0.7507,9
-1.3692,0,1.3692,10
-2.2682,0,2.2682,11
-2.8593,0,2.8593,12
-3.5582,0,3.5582,13
-4.556,0,4.556,14
-5.8314,0,5.8314,15
6.1342,0,6.1342,1
5.5243,0,5.5243,2
4.3643,0,4.3643,3
2.8328,0,2.8328,4
2.21,0,2.21,5
1.8613,0,1.8613,6
0.4282,0,0.4282,7
-0.1648,0,0.1648,8
-0.8029,0,0.8029,9
-1.8723,0,1.8723,10
-2.5893,0,2.5893,11
-3.2927,0,3.2927,12
-4.1638,0,4.1638,13
-5.002,0,5.002,14
-6.1263,0,6.1263,15
7.1237,0,7.1237,1
4.9635,0,4.9635,2
4.407,0,4.407,3
3.5538,0,3.5538,4
2.6097,0,2.6097,5
1.8583,0,1.8583,6
1.1155,0,1.1155,7
0.1763,0,0.1763,8
-0.748,0,0.748,9
-1.4983,0,1.4983,10
-2.5334,0,2.5334,11
-2.9783,0,2.9783,12
-4.2017,0,4.2017,13
-4.6118,0,4.6118,14
-6.9677,0,6.9677,15
6.742,0,6.742,1
5.137,0,5.137,2
4.4996,0,4.4996,3
3.3934,0,3.3934,4
2.6012,0,2.6012,5
1.2055,0,1.2055,6
0.9515,0,0.9515,7
-0.278,0,0.278,8
-1.3219,0,1.3219,9
-2.1413,0,2.1413,10
-2.8105,0,2.8105,11
-3.5623,0,3.5623,12
-4.83,0,4.83,13
-5.7844,0,5.7844,14
-6.2549,0,6.2549,15
6.2957,0,6.2957,1
4.7899,0,4.7899,2
3.725,0,3.725,3
3.3768,0,3.3768,4
2.3518,0,2.3518,5
1.2983,0,1.2983,6
0.7143,0,0.7143,7
-0.4651,0,0.4651,8
-0.8493,0,0.8493,9
-1.9571,0,1.9571,10
-2.6425,0,2.6425,11
-2.9663,0,2.9663,12
-3.8639,0,3.8639,13
-5.1361,0,5.1361,14
-5.6689,0,5.6689,15
7.1273,0,7.1273,1
4.7585,0,4.7585,2
3.9631,0,3.9631,3
3.0401,0,3.0401,4
2.1716,0,2.1716,5
1.5722,0,1.5722,6
0.5439,0,0.5439,7
0.2765,0,0.2765,8
-0.6776,0,0.6776,9
-1.8646,0,1.8646,10
-2.5202,0,2.5202,11
-3.4134,0,3.4134,12
-4.3047,0,4.3047,13
-5.0845,0,5.0845,14
-6.5288,0,6.5288,15
6.5485,0,6.5485,1
5.3054,0,5.3054,2
3.967,0,3.967,3
3.2134,0,3.2134,4
2.1309,0,2.1309,5
1.3711,0,1.3711,6
0.4148,0,0.4148,7
-0.7064,0,0.7064,8
-1.3514,0,1.3514,9
-1.9724,0,1.9724,10
-3.3123,0,3.3123,11
-4.3691,0,4.3691,12
-4.6679,0,4.6679,13
-5.7115,0,5.7115,14
-6.7279,0,6.7279,15
6.4666,0,6.4666,1
5.4545,0,5.4545,2
3.8047,0,3.8047,3
2.4447,0,2.4447,4
2.1306,0,2.1306,5
1.5733,0,1.5733,6
1.0198,0,1.0198,7
0.0256,0,0.0256,8
-1.0364,0,1.0364,9
-1.4855,0,1.4855,10
-2.1728,0,2.1728,11
