"Re","Im","Norm","Order"
7.6798,0,7.6798,1
-5.8314,0,5.8314,2
5.4603,0,5.4603,3
4.7054,0,4.7054,4
-4.556,0,4.556,5
3.8984,0,3.8984,6
-3.5582,0,3.5582,7
-2.8593,0,2.8593,8
2.2986,0,2.2986,9
-2.2682,0,2.2682,10
1.631,0,1.631,11
-1.3692,0,1.3692,12
-0.7507,0,0.7507,13
0.4738,0,0.4738,14
0.1256,0,0.1256,15
6.1342,0,6.1342,1
-6.1263,0,6.1263,2
5.5243,0,5.5243,3
-5.002,0,5.002,4
4.3643,0,4.3643,5
-4.1638,0,4.1638,6
-3.2927,0,3.2927,7
2.8328,0,2.8328,8
-2.5893,0,2.5893,9
2.21,0,2.21,10
-1.8723,0,1.8723,11
1.8613,0,1.8613,12
-0.8029,0,0.8029,13
0.4282,0,0.4282,14
-0.1648,0,0.1648,15
7.1237,0,7.1237,1
-6.9677,0,6.9677,2
4.9635,0,4.9635,3
-4.6118,0,4.6118,4
4.407,0,4.407,5
-4.2017,0,4.2017,6
3.5538,0,3.5538,7
-2.9783,0,2.9783,8
2.6097,0,2.6097,9
-2.5334,0,2.5334,10
1.8583,0,1.8583,11
-1.4983,0,1.4983,12
1.1155,0,1.1155,13
-0.748,0,0.748,14
0.1763,0,0.1763,15
6.742,0,6.742,1
-6.2549,0,6.2549,2
-5.7844,0,5.7844,3
5.137,0,5.137,4
-4.83,0,4.83,5
4.4996,0,4.4996,6
-3.5623,0,3.5623,7
3.3934,0,3.3934,8
-2.8105,0,2.8105,9
2.6012,0,2.6012,10
-2.1413,0,2.1413,11
-1.3219,0,1.3219,12
1.2055,0,1.2055,13
0.9515,0,0.9515,14
-0.278,0,0.278,15
6.2957,0,6.2957,1
-5.6689,0,5.6689,2
-5.1361,0,5.1361,3
4.7899,0,4.7899,4
-3.8639,0,3.8639,5
3.725,0,3.725,6
3.3768,0,3.3768,7
-2.9663,0,2.9663,8
-2.6425,0,2.6425,9
2.3518,0,2.3518,10
-1.9571,0,1.9571,11
1.2983,0,1.2983,12
-0.8493,0,0.8493,13
0.7143,0,0.7143,14
-0.4651,0,0.4651,15
7.1273,0,7.1273,1
-6.5288,0,6.5288,2
-5.0845,0,5.0845,3
4.7585,0,4.7585,4
-4.3047,0,4.3047,5
3.9631,0,3.9631,6
-3.4134,0,3.4134,7
3.0401,0,3.0401,8
-2.5202,0,2.5202,9
2.1716,0,2.1716,10
-1.8646,0,1.8646,11
1.5722,0,1.5722,12
-0.6776,0,0.6776,13
0.5439,0,0.5439,14
0.2765,0,0.2765,15
-6.7279,0,6.7279,1
6.5485,0,6.5485,2
-5.7115,0,5.7115,3
5.3054,0,5.3054,4
-4.6679,0,4.6679,5
-4.3691,0,4.3691,6
3.967,0,3.967,7
-3.3123,0,3.3123,8
3.2134,0,3.2134,9
2.1309,0,2.1309,10
-1.9724,0,1.9724,11
1.3711,0,1.3711,12
-1.3514,0,1.3514,13
-0.7064,0,0.7064,14
0.4148,0,0.4148,15
-7.1395,0,7.1395,1
6.4666,0,6.4666,2
5.4545,0,5.4545,3
-5.1431,0,5.1431,4
-4.2946,0,4.2946,5
3.8047,0,3.8047,6
-3.5396,0,3.5396,7
2.4447,0,2.4447,8
-2.1728,0,2.1728,9
2.1306,0,2.1306,10
1.5733,0,1.5733,11
-1.4855,0,1.4855,12
-1.0364,0,1.0364,13
1.0198,0,1.0198,14
0.0256,0,0.0256,15
6.2635,0,6.2635,1
-5.7461,0,5.7461,2
5.2199,0,5.2199,3
-5.1267,0,5.1267,4
4.861,0,4.861,5
-4.6863,0,4.6863,6
4.1921,0,4.1921,7
-3.54,0,3.54,8
-2.838,0,2.838,9
2.614,0,2.614,10
1.7789,0,1.7789,11
-1.6773,0,1.6773,12
0.7402,0,0.7402,13
0.5225,0,0.5225,14
-0.1402,0,0.1402,15
7.6371,0,7.6371,1
-7.0344,0,7.0344,2
5.2583,0,5.2583,3
-4.9798,0,4.9798,4
-4.4207,0,4.4207,5
4.3682,0,4.3682,6
4.0928,0,4.0928,7
-3.315,0,3.315,8
3.2035,0,3.2035,9
-2.3325,0,2.3325,10
2.1289,0,2.1289,11
1.2795,0,1.2795,12
-1.2662,0,1.2662,13
-0.7865,0,0.7865,14
0.2581,0,0.2581,15
-6.1755,0,6.1755,1
5.7098,0,5.7098,2
-5.0844,0,5.0844,3
4.5365,0,4.5365,4
-4.2381,0,4.2381,5
3.8775,0,3.8775,6
3.1468,0,3.1468,7
-3.0814,0,3.0814,8
-2.2126,0,2.2126,9
2.0054,0,2.0054,10
1.1328,0,1.1328,11
-1.0636,0,1.0636,12
0.7931,0,0.7931,13
0.6663,0,0.6663,14
-0.1418,0,0.1418,15
7.5576,0,7.5576,1
-6.452,0,6.452,2
5.5499,0,5.5499,3
-4.3941,0,4.3941,4
4.2909,0,4.2909,5
-3.7374,0,3.7374,6
3.687,0,3.687,7
2.9139,0,2.9139,8
-2.7823,0,2.7823,9
-2.5368,0,2.5368,10
-1.8725,0,1.8725,11
1.8627,0,1.8627,12
1.3273,0,1.3273,13
-0.7024,0,0.7024,14
-0.4809,0,0.4809,15
6.4753,0,6.4753,1
-5.6143,0,5.6143,2
-4.9455,0,4.9455,3
4.6975,0,4.6975,4
-4.1226,0,4.1226,5
-3.6088,0,3.6088,6
3.5982,0,3.5982,7
3.0724,0,3.0724,8
-2.6603,0,2.6603,9
2.4602,0,2.4602,10
2.0793,0,2.0793,11
-1.5765,0,1.5765,12
1.2278,0,1.2278,13
-0.4623,0,0.4623,14
-0.0664,0,0.0664,15
-6.786,0,6.786,1
-5.9305,0,5.9305,2
5.7451,0,5.7451,3
5.0266,0,5.0266,4
-4.561,0,4.561,5
3.8661,0,3.8661,6
-3.6359,0,3.6359,7
3.4151,0,3.4151,8
-2.8607,0,2.8607,9
2.3754,0,2.3754,10
-1.9549,0,1.9549,11
1.7548,0,1.7548,12
-1.359,0,1.359,13
-1.0864,0,1.0864,14
0.2259,0,0.2259,15
-6.6221,0,6.6221,1
5.929,0,5.929,2
-5.1628,0,5.1628,3
