"Re","Im","Norm","Order"
-12.7072,0,12.7072,24
12.5889,0,12.5889,25
-12.3274,0,12.3274,26
12.3175,0,12.3175,27
-12.2476,0,12.2476,28
11.9437,0,11.9437,29
-11.7779,0,11.7779,30
-11.533,0,11.533,31
11.3316,0,11.3316,32
-11.2021,0,11.2021,33
-11.0687,0,11.0687,34
10.8818,0,10.8818,35
10.8424,0,10.8424,36
-10.5537,0,10.5537,37
10.5381,0,10.5381,38
-10.2284,0,10.2284,39
-9.9872,0,9.9872,40
9.9105,0,9.9105,41
9.7767,0,9.7767,42
-9.6657,0,9.6657,43
9.1807,0,9.1807,44
8.9936,0,8.9936,45
-8.8462,0,8.8462,46
8.5021,0,8.5021,47
-8.3932,0,8.3932,48
8.3536,0,8.3536,49
-8.2207,0,8.2207,50
8.1854,0,8.1854,51
-7.8367,0,7.8367,52
7.711,0,7.711,53
7.5482,0,7.5482,54
-7.1793,0,7.1793,55
7.1406,0,7.1406,56
-6.9516,0,6.9516,57
-6.7551,0,6.7551,58
6.6049,0,6.6049,59
6.3921,0,6.3921,60
-6.3772,0,6.3772,61
-6.0528,0,6.0528,62
5.7621,0,5.7621,63
-5.6805,0,5.6805,64
-5.6156,0,5.6156,65
-5.5148,0,5.5148,66
5.5118,0,5.5118,67
5.367,0,5.367,68
5.2705,0,5.2705,69
5.1495,0,5.1495,70
-4.8848,0,4.8848,71
4.5775,0,4.5775,72
-4.326,0,4.326,73
4.1571,0,4.1571,74
-4.0315,0,4.0315,75
-3.749,0,3.749,76
-3.581,0,3.581,77
3.4581,0,3.4581,78
-3.4381,0,3.4381,79
3.3544,0,3.3544,80
-3.1266,0,3.1266,81
2.8064,0,2.8064,82
-2.6038,0,2.6038,83
2.5792,0,2.5792,84
2.2972,0,2.2972,85
-2.2053,0,2.2053,86
2.0392,0,2.0392,87
1.7441,0,1.7441,88
-1.7145,0,1.7145,89
-1.519,0,1.519,90
1.4622,0,1.4622,91
-1.1513,0,1.1513,92
0.9999,0,0.9999,93
0.6451,0,0.6451,94
-0.6226,0,0.6226,95
0.6031,0,0.6031,96
0.4849,0,0.4849,97
-0.3237,0,0.3237,98
-0.2857,0,0.2857,99
-0.0915,0,0.0915,100
19.3102,0,19.3102,1
-19.2418,0,19.2418,2
-18.6634,0,18.6634,3
18.5403,0,18.5403,4
18.2666,0,18.2666,5
-17.6253,0,17.6253,6
17.2663,0,17.2663,7
16.991,0,16.991,8
-16.6954,0,16.6954,9
-16.4392,0,16.4392,10
-16.0661,0,16.0661,11
15.9131,0,15.9131,12
-15.5885,0,15.5885,13
15.3608,0,15.3608,14
15.0341,0,15.0341,15
14.8456,0,14.8456,16
-14.6846,0,14.6846,17
-14.1728,0,14.1728,18
14.1138,0,14.1138,19
-13.8786,0,13.8786,20
13.7725,0,13.7725,21
-13.601,0,13.601,22
13.2611,0,13.2611,23
-13.2307,0,13.2307,24
-12.8325,0,12.8325,25
12.5298,0,12.5298,26
-12.528,0,12.528,27
12.4622,0,12.4622,28
-12.086,0,12.086,29
-11.9766,0,11.9766,30
11.9067,0,11.9067,31
11.5756,0,11.5756,32
-11.3808,0,11.3808,33
11.1121,0,11.1121,34
10.8379,0,10.8379,35
-10.828,0,10.828,36
10.6637,0,10.6637,37
-10.4597,0,10.4597,38
10.2608,0,10.2608,39
-10.1215,0,10.1215,40
9.9844,0,9.9844,41
-9.7345,0,9.7345,42
9.5735,0,9.5735,43
-9.2865,0,9.2865,44
-8.9946,0,8.9946,45
-8.8301,0,8.8301,46
8.8062,0,8.8062,47
8.6605,0,8.6605,48
8.5857,0,8.5857,49
-8.1769,0,8.1769,50
8.1497,0,8.1497,51
-7.8706,0,7.8706,52
7.8181,0,7.8181,53
7.6469,0,7.6469,54
-7.5613,0,7.5613,55
7.3792,0,7.3792,56
-7.0015,0,7.0015,57
7.0007,0,7.0007,58
-6.682,0,6.682,59
-6.5488,0,6.5488,60
6.4538,0,6.4538,61
-6.3173,0,6.3173,62
6.2449,0,6.2449,63
-5.8978,0,5.8978,64
5.8355,0,5.8355,65
-5.7009,0,5.7009,66
5.602,0,5.602,67
-5.4369,0,5.4369,68
5.0049,0,5.0049,69
-4.8032,0,4.8032,70
4.7995,0,4.7995,71
-4.632,0,4.632,72
4.5113,0,4.5113,73
4.1286,0,4.1286,74
-4.0876,0,4.0876,75
-3.7094,0,3.7094,76
-3.6122,0,3.6122,77
-3.5294,0,3.5294,78
3.4785,0,3.4785,79
3.2954,0,3.2954,80
-3.1419,0,3.1419,81
2.8118,0,2.8118,82
-2.6159,0,2.6159,83
2.3718,0,2.3718,84
-2.2848,0,2.2848,85
2.2194,0,2.2194,86
-1.9666,0,1.9666,87
1.9488,0,1.9488,88
1.7662,0,1.7662,89
-1.662,0,1.662,90
1.4786,0,1.4786,91
-1.2766,0,1.2766,92
1.219,0,1.219,93
-1.0987,0,1.0987,94
0.9157,0,0.9157,95
0.7088,0,0.7088,96
-0.4837,0,0.4837,97
0.3542,0,0.3542,98
-0.3145,0,0.3145,99
0.1234,0,0.1234,100
-20.1359,0,20.1359,1
19.2548,0,19.2548,2
19.1522,0,19.1522,3
-19.0474,0,19.0474,4
18.1901,0,18.1901,5
-18.0005,0,18.0005,6
-17.4725,0,17.4725,7
17.0385,0,17.0385,8
16.4964,0,16.4964,9
-16.2135,0,16.2135,10
-16.0865,0,16.0865,11
15.932,0,15.932,12
15.386,0,15.386,13
-15.2644,0,15.2644,14
-14.9323,0,14.9323,15
14.7349,0,14.7349,16
14.6556,0,14.6556,17
-14.5595,0,14.5595,18
14.3313,0,14.3313,19
-14.0042,0,14.0042,20
-13.9167,0,13.9167,21
13.4604,0,13.4604,22
13.0815,0,13.0815,23
-13.0191,0,13.0191,24
12.973,0,12.973,25
-12.9641,0,12.9641,26
-12.2623,0,12.2623,27
12.1561,0,12.1561,28
-11.8374,0,11.8374,29
11.8126,0,11.8126,30
11.6972,0,11.6972,31
-11.6667,0,11.6667,32
11.4029,0,11.4029,33
-11.2062,0,11.2062,34
-10.7153,0,10.7153,35
10.6993,0,10.6993,36
10.3602,0,10.3602,37
-10.2705,0,10.2705,38
9.9217,0,9.9217,39
-9.9113,0,9.9113,40
9.6657,0,9.6657,41
9.4491,0,9.4491,42
-9.3912,0,9.3912,43
-9.2439,0,9.2439,44
-9.1092,0,9.1092,45
9.1061,0,9.1061,46
8.7026,0,8.7026,47
-8.6053,0,8.6053,48
8.5756,0,8.5756,49
-8.2604,0,8.2604,50
8.2422,0,8.2422,51
-8.1775,0,8.1775,52
7.714,0,7.714,53
7.4432,0,7.4432,54
-7.2363,0,7.2363,55
-7.0863,0,7.0863,56
-6.8874,0,6.8874,57
6.8264,0,6.8264,58
-6.6017,0,6.6017,59
6.5886,0,6.5886,60
-6.3101,0,6.3101,61
6.2816,0,6.2816,62
6.1044,0,6.1044,63
-6.0184,0,6.0184,64
5.7838,0,5.7838,65
-5.5542,0,5.5542,66
5.5308,0,5.5308,67
5.3435,0,5.3435,68
-5.1422,0,5.1422,69
-4.9092,0,4.9092,70
4.8073,0,4.8073,71
-4.751,0,4.751,72
4.601,0,4.601,73
-4.4007,0,4.4007,74
4.2989,0,4.2989,75
-4.0995,0,4.0995,76
4.0746,0,4.0746,77
-3.7988,0,3.7988,78
3.7245,0,3.7245,79
-3.4565,0,3.4565,80
-3.2256,0,3.2256,81
2.8971,0,2.8971,82
-2.7955,0,2.7955,83
2.682,0,2.682,84
-2.6071,0,2.6071,85
2.4326,0,2.4326,86
2.3105,0,2.3105,87
-2.0183,0,2.0183,88
-1.8464,0,1.8464,89
1.8274,0,1.8274,90
-1.4887,0,1.4887,91
-1.4457,0,1.4457,92
1.4377,0,1.4377,93
-1.077,0,1.077,94
0.9886,0,0.9886,95
0.8766,0,0.8766,96
-0.6047,0,0.6047,97
0.3876,0,0.3876,98
0.1864,0,0.1864,99
0.1279,0,0.1279,100
-19.2542,0,19.2542,1
18.7861,0,18.7861,2
-18.2118,0,18.2118,3
-17.81,0,17.81,4
17.7865,0,17.7865,5
17.3741,0,17.3741,6
-16.6445,0,16.6445,7
16.5811,0,16.5811,8
16.4616,0,16.4616,9
-16.4211,0,16.4211,10
-16.0647,0,16.0647,11
-15.6511,0,15.6511,12
-15.334,0,15.334,13
15.185,0,15.185,14
-14.7071,0,14.7071,15
14.5721,0,14.5721,16
14.4051,0,14.4051,17
-14.3802,0,14.3802,18
-14.128,0,14.128,19
-13.6034,0,13.6034,20
13.554,0,13.554,21
13.3924,0,13.3924,22
-13.2504,0,13.2504,23
13.1312,0,13.1312,24
-12.8626,0,12.8626,25
12.6663,0,12.6663,26
